Airport-Name,City
Indira Gandhi International Airport,New Delhi
Chhatrapati Shivaji International Airport,Mumbai
Kempegowda International Airport,Bangalore
Chennai International Airport,Chennai
Dabolim Airport,Vasco da Gama
Cochin International Airport,Kochi
Netaji Subhash Chandra Bose International Airport,Kolkata
Rajiv Gandhi International Airport,Hyderabad
Trivandrum International Airport,Thiruvananthapuram
Sardar Vallabhbhai Patel International Airport,Ahmedabad
Jaipur International Airport,Jaipur
HAL Airport,Bangalore
Pune Airport,Pune
Sri Guru Ram Dass Jee International Airport,Amritsar
Vadodara Airport,Vadodara
Mangalore International Airport,Mangalore
Begumpet Airport,Hyderabad
Lal Bahadur Shastri Airport,Varanasi
Calicut International Airport,Calicut
Biju Patnaik Airport,Bhubaneswar
Coimbatore International Airport,Coimbatore
Lokpriya Gopinath Bordoloi International Airport,Guwahati
Lok Nayak Jayaprakash Airport,Patna
Devi Ahilyabai Holkar Airport,Indore
Jodhpur Airport,Jodhpur
Madurai Airport,Madurai
Bagdogra Airport,Siliguri
Vishakhapatnam Airport,Visakhapatnam
Chaudhary Charan Singh International Airport,Lucknow
Chandigarh Airport,Chandigarh
Surat Airport,
Juhu Aerodrome,Mumbai
Vir Savarkar International Airport,Port Blair
Raipur Airport,Raipur
Sheikh ul Alam Airport,Srinagar
Dr. Babasaheb Ambedkar International Airport,Naqpur
Maharana Pratap Airport,Udaipur
Aurangabad Airport,Aurangabad
Birsa Munda Airport,Ranchi
Bhuj Airport,Bhuj
Vijayawada Airport,
Agartala Airport,Agartala
Jorhat Airport,Jorhat
Sri Sathya Sai Airport,Puttaparthi
Darbhanga Airport,
Gondia Airport,
Rajkot Airport,Rajkot
Raja Bhoj International Airport,Bhopal
Imphal Airport,Imphal
Jamnagar Airport,Jamnagar
Leh Kushok Bakula Rimpochee Airport,Leh
Rajahmundry Airport,Rajahmundry
Tirupati Airport,Tirupati
Dibrugarh Airport,Dibrugarh
Khajuraho Airport,Khajuraho
Kullu Manali Airport,
Ambala Air Force Station,
Allahabad Airport,Allahabad
Harihar Airport,
Kalaikunda Air Force Station,
Nashik Airport,Nasik
Baramati Airport,Pune
Tiruchirapally Civil Airport Airport,Tiruchirappally
Jammu Airport,Jammu
Belgaum Airport,Belgaum
Bhavnagar Airport,Bhavnagar
Tezpur Airport,
Gaya Airport,
Jabalpur Airport,
Dehradun Airport,Dehradun
Gandhinagar Airport,Nashik
Porbandar Airport,Porbandar
Silchar Airport,Silchar
Diu Airport,Diu
Hubli Airport,Hubli
Keshod Airport,
Kangra Airport,
Shimla Airport,
Bidar Air Force Station,
Agatti Airport,
Rourkela Airport,
Bhatinda Air Force Station,
Agra Airport,
Bellary Airport,Bellary
Dundigul Air Force Academy,Hyderabad
Sonari Airport,Jamshedpur
Kota Airport,Kota
Pathankot Airport,Pathankot
Pondicherry Airport,Pondicherry
Willingdon Island Air Base,Kochi
Nagarjuna Sagar Airport,
Bokaro Airport,
Bhilai Airport,
Raedhanpur Airport,
Bhiwani Airport,
Nuagaon Airport,
Patiala Airport,
Uttarlai Airport,
Hakimpet Airport,
Fursatganj Airport,
Kanpur Airport,Kanpur
"Rewa Airport, Chorhata, REWA",Rewa
Coimbatore Air Force Station,Sulur
Yelahanka Air Force Station,Yelahanka
Deoghar Airstrip,
kanha,
Barbil Aerodrome (JSPL),
KEONJHAR AIRPORT,
Nadirgul Airport,
GAUCHER,
Amreli Airstrip,Amreli
Bhagalpur Airport,Bhagalpur
"Kopal,Hospet Airport",Hospete
Koppal Aerodrome,Koppal
Shibpur Airstrip,Madhupur
Kolhapur Airport,
Satna Airport,
Tuirial Airfield,Aizawl
Dimapur Airport,Dimapur
Gwalior Airport,Gwalior
Kanpur Civil Airport,Kanpur
North Lakhimpur Airport,Lilabari
Shillong Airport,Shillong
Car Nicobar Air Force Station,
Along Airport,
Dhanbad Airport,
Muzaffarpur Airport,
Daman Airport,
Safdarjung Airport,
Hissar Airport,
Sirsa Air Force Station,
Udhampur Air Force Station,
Ratnagiri Airport,
Guna Airport,
Ludhiana Airport,
Jaisalmer Airport,
Kailashahar Airport,
Panagarh Air Force Station,
Akola Airport,Akola
Bareilly Air Force Station,Bareilly
Nal Airport,Bikaner
Bilaspur Airport,Bilaspur
Gorakhpur Airport,Gorakhpur
Hashimara Air Force Station,Jalpaiguri
Kadapa Airport,Kadapa
Kandla Airport,Kandla
Pantnagar Airport,Pantnagar
Salem Airport,Salem
Ziro Airport,Ziro
Campbell Bay Airport,
Machuka Advanced Landing Ground,
Vijaynagar Advanced Landing Ground,
Sookerating Airport,
Rupsi India Airport,
Giridih Airport,
Daltonganj Airport,
Purnea Airport,
Raxaul Airport,
Deesa Airport,
Bhilwara Airport,
Karnal Airport,
Kalka Airport,
Chakulia Airport,
Thoise Airport,
Kargil Airport,
Fukche Advanced Landing Ground,
Awantipur Air Force Station,
Daulat Beg Oldi Advanced Landing Ground,
Chanda Airport,
Karad Airport,
Jalgaon Airport,
Dhulia Airport,
Birlagram Airport,
Sidhi Airport,
Dhana Airport,
Amla Airport,
Nimach Airport,
Burhar Airport,
Ratlam Airport,
Thuniabhand Airport,
Band Tal Airport,
Cuttack Airport,
Jharsuguda Airport,
Utkela Airport,
Jallowal Airport,
Halwara Air Force Station,
Ondwa Airport,
Phalodi Airport,
Sirohi Airport,
Banswara Airport,
Abu Road Airport,
Suratgarh New Airport,
Jhunjhunu Airport,
Pilani New Airport,
Nagaur Airport,
Kovilpatti Airport,
Hosur Airport,
Arkonam Airport,
Kamalpur Airport,
Muirpur Airport,
Meerut Sw Airport,
Bharkot Airport,
Akbarpur Airport,
Pithorgarh Airport,
Hindon Air Force Station,
Jhansi Airport,
Sarsawa Air Force Station,
Burnpur Airport,
Adampur Airport,Adampur
Lengpui Airport,Aizawl
Balurghat Airport,Balurghat
Barrackpore Air Force Station,Barrackpore
Behala Airport,Behala
Tambaram Air Force Station,Chennai
Chabua Air Force Station,Dibrugarh
Dunakonda Airport,Dunakonda
Jagdalpur Airport,Jagdalpur
Jeypore Airport,Jeypore
IIT Kanpur Airport,Kalyanpur
Khowai Airport,Khowai
Lalitpur Airport,Lalitpur
Murod Kond Airport,Latur
Bakshi Ka Talab Air Force Station,Lucknow
Malda Airport,Malda
Mysore Airport,Mysore
Nanded Airport,Nanded
Nawapara Airport,Nawapara
Neyveli Airport,Neyveli
Pasighat Airport,Pasighat
Rajouri Airport,Rajouri
Ramnad Naval Air Station,Ramnad
Hirakud Airport,Sambalpur
Solapur Airport,Solapur
Tezu Airport,Tezu
Tanjore Air Force Base,Thanjavur
Tuticorin Airport,Thoothukudi
Bentayan Airport,Ujjain
Vellore Airport,Vellore
Warangal Airport,Warangal
Tawang Air Force Station,
Siachen Glacier AFS Airport,
Cooch Behar Airport,
Walong Advanced Landing Ground,
Itanagar (Naharlagun),
Itanagar (Naharlagun),
Ledo Airfield,
Dinjan Airfield,
Madhubani Airport,
Madhubani Airport,
saharsa airstrip,
Raigarh Airport (JSPL),
INDRA GANDHI AIRPORT,
Annandale Helipad,
Ajog Helipad,
Noamundi Airport,
Leh Helipad,
Vijayanagar Aerodrome (JSW),
Baldota Koppal Aerodrome,
@@ Online Istikhara for Love Problem +91-9828783978 (>,
Perunad Helipad,
Kavaratti Helipad,
Baljek Airport,
Erase Me 16,
Koirengei Airstrip,
Khargon Govt. Airstrip,
CHINDWARA AIRFIELD,
Thuampui Helipad,
Pukpui Helipad,
Lunglei Helipad,
Vairengte Helipad,
Angul Airport (JSPL),
Jajpur ( Sukinda ) Airstrip,
Vedanta Lanjigarh Airstrip,
no airport,
Salwas,
Airport,
Gangtok Helipad,
Pakyong Airport (Under Construction),
Kayathar Airstrip,
Chettinad Airstrip,
Ulundurpet Airstrip,
Cholavaram Airstrip,
Sultanpur,
Dudhkundi Airfield,
Piardoba Airfield,
Bishnupur Airfield,
Guskhara Airfield,
Pandaveswar Airfield,
Aamby Valley Airport,Aamby Valley City
Kishangarh Airport,Ajmer
Akli Airport,Akli
Dhanipur Airstrip,Aligarth
Amravati (Belora) Airstrip,Amravati
Jakkur Aerodrome,Bengaluru
Bilaspur Helipad,Bilaspur
"Aviation Research Centre, RAW Headquarter Helipad",Chakrata
Daporijo Airport,Daporijo
Dhubulia Airstrip,Dhubulia
Digri Airstrip,Digri
Sido Kanhu Airport,Dumka
Kazi Nazrul Islam Airport,Durgapur
Durgapur Steel Plant Airport,Durgapur
Faizabad Airport,Faizabad
STC BSF Indian Army Helipad,Gangpimual
PAP Complex Heliport,Jalandhar
Kalyan airstrip,Kalyan
Kanchrapara Airfield,Kanchrapara
Catholic Medical Centre Helipad,Kangla
Kannur International Airport,Kannur
Khandwa Airport,Khandwa
Kohima Helipad,Kohima
Lebong Helipad,Lebong
Maithon Heliport,Maithon
Mathura Heliport,Mathura
Kunjali Helipad,Mimbai
Minicoy Helipad,Minicoy Island
Shikra Naval Helibase,Mumbai
Butcher Island Helipad,Mumbai
Mahalaxmi Race Course Helipad,Mumbai
Raj Bhavan Helipad,Mumbai
HQ Eastern Air Command Helipad,Myliem
Namchi Helipad,Nayabazar
Muhammad Ali Khan,New Delhi
Osmanabad Airport,Osmanabad
Pedong Helipad,Pedong
Pelling Helipad,Pelling City
Phalodi Airfield,Phalodi
Poonch Airport,Poonch
Charra Airfield,Purulia
Basanth Nagar Airport,Ramagundam
Basanth Nagar Airport,Ramagundam
Surichua Air Base,Rampurhat
Rasgovindpur Airstrip,Rasgovindpur
Korba Airport,Rumgara
Saiha Helipad,Saiha
Sevoke Road Indian Army Heliport,Salugara
Serchhip Helipad,Serchhip
Shillong Indian Army Helipad,Shillong
Shirdi Airport,Shirdi
Shirpur Airport,Shirpur
Umaria Air Field,Umaria
Upper Tadong Indian Army Helipad,Upper Tadong
Vanasthali Airport,Vanasthali
Vijay Nagar Airport,Vijay Nagar
